gadgets,m2,m2 (ms),m2+mapping,m2m (ms),m1,m1 (ms),m1+mapping,m1m (ms),m2m/m2%,m1m/m1%,m1/m2%,m1m/m2m%,m1m/m2m time%
2,36.6,10.9,33.8,11.5,50.9,8.1,37.8,8.2,-7.7,-25.7,39.1,11.8,-28.7
4,72.5,15.3,70.7,16.4,85.9,10.7,71.2,10.7,-2.5,-17.1,18.5,0.7,-34.8
