,n_rep,num_qubits,n_gadgets,method,mapping,cx,pre-cx,broken_chains,steiner_nodes,I-index,doubles,q-corr
4428,,7,76,pauli_polynomial_steiner_gray_clifford,"[1, 4, 5, 3, 6, 2, 0]",344,299,53,112,208,7,106
4429,,7,76,pauli_polynomial_steiner_gray_clifford,"[1, 4, 6, 3, 5, 2, 0]",334,299,57,119,222,5,99
4430,,7,76,pauli_polynomial_steiner_gray_clifford,"[1, 5, 4, 3, 6, 2, 0]",335,294,56,115,216,6,102
4431,,7,76,pauli_polynomial_steiner_gray_clifford,"[1, 6, 4, 3, 5, 2, 0]",332,291,58,117,230,5,95
4432,,7,76,pauli_polynomial_steiner_gray_clifford,"[1, 5, 6, 3, 4, 2, 0]",356,316,59,120,234,3,93
4433,,7,76,pauli_polynomial_steiner_gray_clifford,"[1, 6, 5, 3, 4, 2, 0]",368,311,57,115,234,4,93
4434,,7,76,pauli_polynomial_steiner_gray_clifford,"[1, 4, 5, 6, 3, 2, 0]",351,308,55,114,218,6,101
4435,,7,76,pauli_polynomial_steiner_gray_clifford,"[1, 4, 6, 5, 3, 2, 0]",336,292,58,117,236,5,92
4436,,7,76,pauli_polynomial_steiner_gray_clifford,"[1, 5, 4, 6, 3, 2, 0]",366,317,56,117,228,7,96
4437,,7,76,pauli_polynomial_steiner_gray_clifford,"[1, 6, 4, 5, 3, 2, 0]",356,320,56,115,228,8,96
4438,,7,76,pauli_polynomial_steiner_gray_clifford,"[1, 5, 6, 4, 3, 2, 0]",366,324,60,120,244,4,88
4439,,7,76,pauli_polynomial_steiner_gray_clifford,"[1, 6, 5, 4, 3, 2, 0]",375,333,57,115,226,6,97
4440,,7,76,pauli_polynomial_steiner_gray_clifford,"[2, 1, 3, 4, 5, 6, 0]",334,290,56,108,224,7,102
4441,,7,76,pauli_polynomial_steiner_gray_clifford,"[2, 1, 3, 4, 6, 5, 0]",346,308,59,113,240,4,94
4442,,7,76,pauli_polynomial_steiner_gray_clifford,"[2, 1, 3, 5, 4, 6, 0]",349,301,55,104,226,9,101
4443,,7,76,pauli_polynomial_steiner_gray_clifford,"[2, 1, 3, 6, 4, 5, 0]",346,301,56,106,224,7,102
4444,,7,76,pauli_polynomial_steiner_gray_clifford,"[2, 1, 3, 5, 6, 4, 0]",353,308,56,103,230,7,99
4445,,7,76,pauli_polynomial_steiner_gray_clifford,"[2, 1, 3, 6, 5, 4, 0]",348,302,54,100,212,8,108
4446,,7,76,pauli_polynomial_steiner_gray_clifford,"[2, 1, 4, 3, 5, 6, 0]",352,306,57,110,226,5,101
4447,,7,76,pauli_polynomial_steiner_gray_clifford,"[2, 1, 4, 3, 6, 5, 0]",343,296,59,115,224,3,102
4448,,7,76,pauli_polynomial_steiner_gray_clifford,"[2, 1, 5, 3, 4, 6, 0]",351,312,57,104,236,6,96
4449,,7,76,pauli_polynomial_steiner_gray_clifford,"[2, 1, 6, 3, 4, 5, 0]",355,310,54,101,216,6,106
4450,,7,76,pauli_polynomial_steiner_gray_clifford,"[2, 1, 5, 3, 6, 4, 0]",356,316,55,103,224,7,102
4451,,7,76,pauli_polynomial_steiner_gray_clifford,"[2, 1, 6, 3, 5, 4, 0]",358,321,50,95,206,9,111
4452,,7,76,pauli_polynomial_steiner_gray_clifford,"[2, 1, 4, 5, 3, 6, 0]",343,312,54,104,210,8,109
4453,,7,76,pauli_polynomial_steiner_gray_clifford,"[2, 1, 4, 6, 3, 5, 0]",338,297,58,111,226,5,101
4454,,7,76,pauli_polynomial_steiner_gray_clifford,"[2, 1, 5, 4, 3, 6, 0]",326,278,55,102,218,7,105
4455,,7,76,pauli_polynomial_steiner_gray_clifford,"[2, 1, 6, 4, 3, 5, 0]",342,304,56,104,234,5,97
4456,,7,76,pauli_polynomial_steiner_gray_clifford,"[2, 1, 5, 6, 3, 4, 0]",365,329,56,100,222,5,103
4457,,7,76,pauli_polynomial_steiner_gray_clifford,"[2, 1, 6, 5, 3, 4, 0]",344,293,53,95,222,6,103
4458,,7,76,pauli_polynomial_steiner_gray_clifford,"[2, 1, 4, 5, 6, 3, 0]",360,314,54,102,210,7,109
4459,,7,76,pauli_polynomial_steiner_gray_clifford,"[2, 1, 4, 6, 5, 3, 0]",357,314,56,104,228,6,100
4460,,7,76,pauli_polynomial_steiner_gray_clifford,"[2, 1, 5, 4, 6, 3, 0]",352,309,53,100,220,8,104
4461,,7,76,pauli_polynomial_steiner_gray_clifford,"[2, 1, 6, 4, 5, 3, 0]",343,309,51,97,220,9,104
4462,,7,76,pauli_polynomial_steiner_gray_clifford,"[2, 1, 5, 6, 4, 3, 0]",347,306,56,99,236,5,96
4463,,7,76,pauli_polynomial_steiner_gray_clifford,"[2, 1, 6, 5, 4, 3, 0]",343,306,52,94,218,7,105
4464,,7,76,pauli_polynomial_steiner_gray_clifford,"[3, 1, 2, 4, 5, 6, 0]",359,314,57,111,229,7,100
4465,,7,76,pauli_polynomial_steiner_gray_clifford,"[3, 1, 2, 4, 6, 5, 0]",344,301,61,116,245,4,92
4466,,7,76,pauli_polynomial_steiner_gray_clifford,"[3, 1, 2, 5, 4, 6, 0]",346,302,54,107,225,8,102
4467,,7,76,pauli_polynomial_steiner_gray_clifford,"[3, 1, 2, 6, 4, 5, 0]",360,315,53,109,227,7,101
