gadgets,m2,m2 (ms),m2+mapping,m2m (ms),m1,m1 (ms),m1+mapping,m1m (ms),m2m/m2%,m1m/m1m,m1/m2%,m1m/m2m%,m1m/m2m time%
2,77.8,11.0,9.8,3.8,79.4,12.0,9.6,1.6,-87.4,-87.9,2.1,-2.0,-57.9
4,112.3,14.4,22.4,4.8,117.5,14.7,20.5,2.8,-80.1,-82.6,4.6,-8.5,-41.7
6,128.2,17.0,33.3,5.9,138.5,16.3,28.8,3.2,-74.0,-79.2,8.0,-13.5,-45.8
8,151.0,19.6,41.6,6.4,149.3,17.8,34.2,3.6,-72.5,-77.1,-1.1,-17.8,-43.8
10,159.0,21.8,50.6,7.4,154.6,18.6,39.6,4.4,-68.2,-74.4,-2.8,-21.7,-40.5
12,167.9,24.0,56.5,8.4,166.2,20.0,44.6,4.7,-66.3,-73.2,-1.0,-21.1,-44.0
14,177.8,27.0,64.7,10.1,172.7,22.4,49.2,5.5,-63.6,-71.5,-2.9,-24.0,-45.5
