gadgets,m2,m2 (ms),m2+mapping,m2m (ms),m1,m1 (ms),m1+mapping,m1m (ms),m2m/m2%,m1m/m1%,m1/m2%,m1m/m2m%,m1m/m2m time%
2,44.8,11.0,8.2,3.8,49.0,12.0,8.3,1.6,-81.7,-83.1,9.4,1.2,-57.9
4,55.0,14.4,16.7,4.8,65.1,14.7,16.0,2.8,-69.6,-75.4,18.4,-4.2,-41.7
6,60.3,17.0,24.4,5.9,74.9,16.3,21.8,3.2,-59.5,-70.9,24.2,-10.7,-45.8
8,66.6,19.6,29.6,6.4,81.5,17.8,25.7,3.6,-55.6,-68.5,22.4,-13.2,-43.8
10,68.9,21.8,35.7,7.4,83.3,18.6,29.2,4.4,-48.2,-64.9,20.9,-18.2,-40.5
12,71.9,24.0,39.4,8.4,89.9,20.0,33.0,4.7,-45.2,-63.3,25.0,-16.2,-44.0
14,76.8,27.0,45.0,10.1,92.3,22.4,35.7,5.5,-41.4,-61.3,20.2,-20.7,-45.5
