gadgets,m2,m2 (ms),m2+mapping,m2m (ms),m1,m1 (ms),m1+mapping,m1m (ms),m2m/m2%,m1m/m1m,m1/m2%,m1m/m2m%,m1m/m2m time%
2,96.7,12.3,24.2,5.5,104.2,13.5,25.2,4.1,-75.0,-75.8,7.8,4.1,-25.5
4,139.8,16.6,48.6,7.1,154.8,16.7,50.0,5.5,-65.2,-67.7,10.7,2.9,-22.5
6,172.1,20.9,69.7,8.9,184.0,19.2,67.1,6.8,-59.5,-63.5,6.9,-3.7,-23.6
8,190.4,25.0,88.7,11.2,201.2,21.4,84.1,8.3,-53.4,-58.2,5.7,-5.2,-25.9
10,211.8,28.3,110.0,13.0,221.8,22.8,98.5,9.5,-48.1,-55.6,4.7,-10.5,-26.9
12,235.2,32.4,128.2,15.1,240.0,26.4,112.5,10.7,-45.5,-53.1,2.0,-12.2,-29.1
14,253.7,36.3,143.3,17.4,259.7,28.4,121.4,12.0,-43.5,-53.3,2.4,-15.3,-31.0
16,279.3,41.7,156.4,20.1,279.5,31.0,131.1,13.4,-44.0,-53.1,0.1,-16.2,-33.3
18,286.7,44.1,168.7,21.9,289.4,32.6,140.9,14.0,-41.2,-51.3,0.9,-16.5,-36.1
20,307.0,48.2,184.0,25.2,302.9,35.2,149.5,15.6,-40.1,-50.6,-1.3,-18.8,-38.1
22,319.0,51.5,194.8,27.2,312.0,36.6,157.5,16.8,-38.9,-49.5,-2.2,-19.1,-38.2
24,346.4,58.4,208.7,30.5,326.4,40.2,168.2,18.6,-39.8,-48.5,-5.8,-19.4,-39.0
26,358.6,63.1,221.1,33.8,340.6,43.6,175.7,20.2,-38.3,-48.4,-5.0,-20.5,-40.2
28,370.8,67.0,235.3,37.2,347.9,46.1,185.7,21.6,-36.5,-46.6,-6.2,-21.1,-41.9
30,389.3,71.2,245.0,40.4,358.2,47.4,191.0,22.9,-37.1,-46.7,-8.0,-22.0,-43.3
32,403.0,76.4,257.6,43.6,371.3,51.7,200.4,25.2,-36.1,-46.0,-7.9,-22.2,-42.2
34,406.9,80.0,267.4,47.5,366.2,52.8,206.6,27.3,-34.3,-43.6,-10.0,-22.7,-42.5
