gadgets,m2,m2 (ms),m2+mapping,m2m (ms),m1,m1 (ms),m1+mapping,m1m (ms),m2m/m2%,m1m/m1%,m1/m2%,m1m/m2m%,m1m/m2m time%
2,57.7,12.8,34.6,9.5,72.9,14.7,40.4,9.0,-40.0,-44.6,26.3,16.8,-5.3
4,77.4,19.0,56.5,13.4,95.7,18.6,70.0,13.0,-27.0,-26.9,23.6,23.9,-3.0
6,91.3,24.2,74.4,17.6,118.5,21.8,90.8,15.7,-18.5,-23.4,29.8,22.0,-10.8
8,103.8,30.7,89.2,22.7,135.2,25.5,109.5,18.8,-14.1,-19.0,30.3,22.8,-17.2
10,116.2,35.8,100.7,27.0,151.5,28.5,124.3,21.7,-13.3,-18.0,30.4,23.4,-19.6
12,125.7,42.7,112.5,32.6,167.7,31.9,139.9,25.1,-10.5,-16.6,33.4,24.4,-23.0
14,136.5,49.0,122.4,37.8,182.8,36.1,153.9,28.0,-10.3,-15.8,33.9,25.7,-25.9
16,145.9,55.6,131.0,43.2,196.8,39.3,166.1,30.4,-10.2,-15.6,34.9,26.8,-29.6
