gadgets,m2,m2 (ms),m2+mapping,m2m (ms),m1,m1 (ms),m1+mapping,m1m (ms),m2m/m2%,m1m/m1%,m1/m2%,m1m/m2m%,m1m/m2m time%
2,51.0,12.3,16.9,5.5,60.0,13.5,19.3,4.1,-66.9,-67.8,17.6,14.2,-25.5
4,64.0,16.6,31.0,7.1,82.1,16.7,33.7,5.5,-51.6,-59.0,28.3,8.7,-22.5
6,74.1,20.9,41.7,8.9,95.1,19.2,43.5,6.8,-43.7,-54.3,28.3,4.3,-23.6
8,79.0,25.0,50.6,11.2,104.8,21.4,53.0,8.3,-35.9,-49.4,32.7,4.7,-25.9
10,85.8,28.3,60.3,13.0,115.2,22.8,60.8,9.5,-29.7,-47.2,34.3,0.8,-26.9
12,93.0,32.4,68.6,15.1,123.7,26.4,69.5,10.7,-26.2,-43.8,33.0,1.3,-29.1
14,98.1,36.3,75.4,17.4,133.6,28.4,76.0,12.0,-23.1,-43.1,36.2,0.8,-31.0
16,106.4,41.7,80.6,20.1,143.2,31.0,79.6,13.4,-24.2,-44.4,34.6,-1.2,-33.3
18,109.8,44.1,86.0,21.9,147.1,32.6,85.8,14.0,-21.7,-41.7,34.0,-0.2,-36.1
20,115.5,48.2,92.6,25.2,155.3,35.2,91.0,15.6,-19.8,-41.4,34.5,-1.7,-38.1
22,118.5,51.5,96.9,27.2,162.1,36.6,95.4,16.8,-18.2,-41.1,36.8,-1.5,-38.2
24,126.7,58.4,103.1,30.5,169.2,40.2,101.6,18.6,-18.6,-40.0,33.5,-1.5,-39.0
26,131.9,63.1,108.2,33.8,175.5,43.6,106.2,20.2,-18.0,-39.5,33.1,-1.8,-40.2
28,137.2,67.0,113.8,37.2,180.6,46.1,111.1,21.6,-17.1,-38.5,31.6,-2.4,-41.9
30,141.9,71.2,119.2,40.4,184.6,47.4,114.7,22.9,-16.0,-37.9,30.1,-3.8,-43.3
32,146.0,76.4,125.0,43.6,191.5,51.7,120.9,25.2,-14.4,-36.9,31.2,-3.3,-42.2
34,149.8,80.0,128.2,47.5,189.3,52.8,123.1,27.3,-14.4,-35.0,26.4,-4.0,-42.5
