gadgets,m2,m2 (ms),m2+mapping,m2m (ms),m1,m1 (ms),m1+mapping,m1m (ms),m2m/m2%,m1m/m1%,m1/m2%,m1m/m2m%,m1m/m2m time%
2,61.6,15.1,44.8,14.8,81.4,17.2,63.4,16.3,-27.3,-22.1,32.1,41.5,10.1
4,85.6,24.3,73.3,22.3,111.1,24.4,98.9,22.4,-14.4,-11.0,29.8,34.9,0.4
6,100.3,30.2,91.4,28.2,136.9,27.8,121.6,26.5,-8.9,-11.2,36.5,33.0,-6.0
8,114.9,37.6,105.9,35.6,157.3,31.8,143.6,30.7,-7.8,-8.7,36.9,35.6,-13.8
10,126.1,45.3,118.2,43.0,173.9,36.1,161.0,34.0,-6.3,-7.4,37.9,36.2,-20.9
12,136.5,54.1,129.4,52.6,189.3,41.4,179.4,40.0,-5.2,-5.2,38.7,38.6,-24.0
14,149.1,60.0,143.7,58.0,205.1,43.2,195.3,41.6,-3.6,-4.8,37.6,35.9,-28.3
16,160.2,68.7,156.2,66.6,220.5,47.8,212.9,46.1,-2.5,-3.4,37.6,36.3,-30.8
18,169.6,77.6,165.3,74.7,234.0,51.9,225.8,50.4,-2.5,-3.5,38.0,36.6,-32.5
20,179.7,85.9,175.7,82.7,248.2,56.8,239.0,54.7,-2.2,-3.7,38.1,36.0,-33.9
22,189.0,95.7,182.8,91.4,259.7,61.8,252.2,59.2,-3.3,-2.9,37.4,38.0,-35.2
24,197.3,107.5,191.8,103.0,273.4,69.0,263.7,64.9,-2.8,-3.5,38.6,37.5,-37.0
26,203.6,113.4,197.5,109.6,282.2,72.9,273.0,70.1,-3.0,-3.3,38.6,38.2,-36.0
28,210.3,125.0,204.9,120.3,292.5,78.4,285.6,75.2,-2.6,-2.4,39.1,39.4,-37.5
30,215.7,138.5,211.6,134.3,304.4,86.9,295.7,85.2,-1.9,-2.9,41.1,39.7,-36.6
32,222.4,150.5,216.9,144.9,314.1,93.3,310.4,91.1,-2.5,-1.2,41.2,43.1,-37.1
34,229.0,159.6,228.7,155.0,329.4,100.2,321.7,95.8,-0.1,-2.3,43.8,40.7,-38.2
36,235.7,180.0,231.2,173.3,336.7,111.1,332.9,106.9,-1.9,-1.1,42.9,44.0,-38.3
38,239.5,224.9,237.7,220.0,347.8,141.0,339.2,133.8,-0.8,-2.5,45.2,42.7,-39.2
40,246.2,221.4,243.1,216.2,364.7,135.8,352.8,132.9,-1.3,-3.3,48.1,45.1,-38.5
60,307.7,345.5,306.0,334.4,478.0,213.6,467.4,208.4,-0.6,-2.2,55.3,52.7,-37.7
80,366.2,547.9,363.1,540.8,588.0,345.5,577.3,336.7,-0.8,-1.8,60.6,59.0,-37.7
100,423.4,759.8,422.3,744.9,699.0,478.0,690.7,467.8,-0.3,-1.2,65.1,63.6,-37.2
120,485.4,1021.0,482.2,1010.8,812.2,649.8,804.9,632.5,-0.7,-0.9,67.3,66.9,-37.4
140,540.9,1315.4,539.9,1296.4,919.7,821.9,911.3,807.8,-0.2,-0.9,70.0,68.8,-37.7
160,602.0,1776.9,599.3,1762.6,1030.2,1107.6,1018.9,1102.6,-0.4,-1.1,71.1,70.0,-37.4
180,659.4,2263.1,658.6,2252.6,1132.0,1404.5,1128.6,1386.5,-0.1,-0.3,71.7,71.4,-38.4
200,718.6,2772.9,716.0,2744.5,1235.5,1709.5,1225.8,1685.2,-0.4,-0.8,71.9,71.2,-38.6
300,1011.9,6223.2,1011.0,6182.0,1747.8,3625.8,1740.8,3600.0,-0.1,-0.4,72.7,72.2,-41.8
400,1300.7,10719.1,1302.9,10601.5,2239.3,5850.4,2227.4,5777.4,0.2,-0.5,72.2,71.0,-45.5
500,1600.4,17609.4,1598.9,17503.3,2721.8,9050.0,2719.5,8991.5,-0.1,-0.1,70.1,70.1,-48.6
600,1892.6,24298.9,1890.5,24126.7,3178.7,11694.4,3184.4,11693.6,-0.1,0.2,68.0,68.4,-51.5
700,2186.0,34541.6,2183.6,34283.4,3652.1,15748.1,3631.0,15614.1,-0.1,-0.6,67.1,66.3,-54.5
