gadgets,m2,m2 (ms),m2+mapping,m2m (ms),m1,m1 (ms),m1+mapping,m1m (ms),m2m/m2%,m1m/m1m,m1/m2%,m1m/m2m%,m1m/m2m time%
2,104.4,15.1,68.9,14.8,151.4,17.2,109.9,16.3,-34.0,-27.4,45.0,59.5,10.1
4,164.8,24.3,133.0,22.3,221.0,24.4,193.5,22.4,-19.3,-12.4,34.1,45.5,0.4
6,219.0,30.2,188.1,28.2,283.2,27.8,249.2,26.5,-14.1,-12.0,29.3,32.5,-6.0
8,275.1,37.6,243.1,35.6,325.8,31.8,298.5,30.7,-11.6,-8.4,18.4,22.8,-13.8
10,326.5,45.3,297.0,43.0,363.0,36.1,333.4,34.0,-9.0,-8.2,11.2,12.3,-20.9
12,373.6,54.1,346.0,52.6,394.6,41.4,371.3,40.0,-7.4,-5.9,5.6,7.3,-24.0
14,422.0,60.0,399.9,58.0,424.6,43.2,404.4,41.6,-5.2,-4.8,0.6,1.1,-28.3
16,466.7,68.7,448.0,66.6,456.0,47.8,436.9,46.1,-4.0,-4.2,-2.3,-2.5,-30.8
18,506.4,77.6,487.3,74.7,482.5,51.9,462.5,50.4,-3.8,-4.1,-4.7,-5.1,-32.5
20,545.9,85.9,521.4,82.7,509.7,56.8,490.7,54.7,-4.5,-3.7,-6.6,-5.9,-33.9
22,583.9,95.7,556.9,91.4,532.4,61.8,514.3,59.2,-4.6,-3.4,-8.8,-7.6,-35.2
24,620.9,107.5,593.3,103.0,556.8,69.0,539.0,64.9,-4.4,-3.2,-10.3,-9.2,-37.0
26,643.5,113.4,621.0,109.6,576.0,72.9,556.6,70.1,-3.5,-3.4,-10.5,-10.4,-36.0
28,677.7,125.0,654.6,120.3,599.3,78.4,582.3,75.2,-3.4,-2.8,-11.6,-11.0,-37.5
30,706.5,138.5,683.1,134.3,621.4,86.9,603.9,85.2,-3.3,-2.8,-12.0,-11.6,-36.6
32,737.2,150.5,715.0,144.9,643.3,93.3,626.5,91.1,-3.0,-2.6,-12.7,-12.4,-37.1
34,772.3,159.6,749.6,155.0,665.2,100.2,652.0,95.8,-2.9,-2.0,-13.9,-13.0,-38.2
36,794.0,180.0,770.6,173.3,683.8,111.1,668.4,106.9,-2.9,-2.3,-13.9,-13.3,-38.3
38,820.4,224.9,800.4,220.0,703.3,141.0,689.0,133.8,-2.4,-2.0,-14.3,-13.9,-39.2
40,852.0,221.4,831.9,216.2,727.4,135.8,712.4,132.9,-2.4,-2.1,-14.6,-14.4,-38.5
60,1132.5,345.5,1113.6,334.4,939.6,213.6,926.7,208.4,-1.7,-1.4,-17.0,-16.8,-37.7
80,1409.6,547.9,1389.9,540.8,1149.1,345.5,1135.4,336.7,-1.4,-1.2,-18.5,-18.3,-37.7
100,1685.6,759.8,1664.5,744.9,1357.8,478.0,1344.3,467.8,-1.3,-1.0,-19.4,-19.2,-37.2
120,1960.9,1021.0,1939.0,1010.8,1561.9,649.8,1545.1,632.5,-1.1,-1.1,-20.3,-20.3,-37.4
140,2228.0,1315.4,2207.2,1296.4,1760.2,821.9,1746.4,807.8,-0.9,-0.8,-21.0,-20.9,-37.7
160,2499.6,1776.9,2477.5,1762.6,1958.6,1107.6,1945.7,1102.6,-0.9,-0.7,-21.6,-21.5,-37.4
180,2772.7,2263.1,2747.5,2252.6,2157.7,1404.5,2146.1,1386.5,-0.9,-0.5,-22.2,-21.9,-38.4
200,3035.6,2772.9,3006.5,2744.5,2346.4,1709.5,2330.1,1685.2,-1.0,-0.7,-22.7,-22.5,-38.6
300,4361.8,6223.2,4333.3,6182.0,3298.7,3625.8,3288.2,3600.0,-0.7,-0.3,-24.4,-24.1,-41.8
400,5672.4,10719.1,5631.5,10601.5,4216.4,5850.4,4199.8,5777.4,-0.7,-0.4,-25.7,-25.4,-45.5
500,6984.8,17609.4,6942.1,17503.3,5132.6,9050.0,5116.3,8991.5,-0.6,-0.3,-26.5,-26.3,-48.6
600,8266.4,24298.9,8231.0,24126.7,6000.3,11694.4,5999.6,11693.6,-0.4,-0.0,-27.4,-27.1,-51.5
700,9568.0,34541.6,9512.1,34283.4,6887.2,15748.1,6866.2,15614.1,-0.6,-0.3,-28.0,-27.8,-54.5
