gadgets,m2,m2 (ms),m2+mapping,m2m (ms),m1,m1 (ms),m1+mapping,m1m (ms),m2m/m2%,m1m/m1m,m1/m2%,m1m/m2m%,m1m/m2m time%
2,110.5,12.8,56.6,9.5,134.3,14.7,62.4,9.0,-48.8,-53.5,21.5,10.2,-5.3
4,159.1,19.0,100.5,13.4,184.8,18.6,124.0,13.0,-36.8,-32.9,16.2,23.4,-3.0
6,206.2,24.2,148.6,17.6,237.1,21.8,170.4,15.7,-27.9,-28.1,15.0,14.7,-10.8
8,256.4,30.7,195.2,22.7,274.5,25.5,208.7,18.8,-23.9,-24.0,7.1,6.9,-17.2
10,297.7,35.8,233.6,27.0,309.9,28.5,238.7,21.7,-21.5,-23.0,4.1,2.2,-19.6
12,337.6,42.7,272.0,32.6,341.6,31.9,271.3,25.1,-19.4,-20.6,1.2,-0.3,-23.0
14,373.7,49.0,307.4,37.8,369.1,36.1,298.0,28.0,-17.7,-19.3,-1.2,-3.1,-25.9
16,411.2,55.6,337.4,43.2,398.2,39.3,320.4,30.4,-17.9,-19.5,-3.2,-5.0,-29.6
